house_size_marla,num_residents,working_residents,urban_rural,energy_saving_appliances,weekend,month,temperature,num_lights,hours_lights,num_fans,hours_fans,num_AC,hours_AC,num_fridge,num_washing_machine,hours_washing_machine,num_TV,hours_TV,num_computer,hours_computer,num_water_heater,hours_water_heater,num_oven,hours_oven,num_microwave,hours_microwave,num_iron,hours_iron,num_water_pump,hours_water_pump,total_appliances,avg_daily_kwh,kwh_per_resident,monthly_kwh
13,7,1,Rural,0,0,6,35.4,8,4.6,4,13.799999999999999,4,8.04,1,1,0.7200000000000001,1,4.680000000000001,1,3.9,3,2.0,1,0.81,1,0.9,0,0.8,1,2.6,26,99.4,426.2,2983.1
75,7,3,Urban,0,0,6,32.9,11,4.3,5,6.119999999999999,2,3.36,1,2,0.45,4,3.51,1,3.0,3,3.4,2,0.18000000000000002,1,1.6,1,0.8,0,1.9,33,67.3,288.6,2020.4
33,7,2,Urban,0,0,8,30.5,24,4.0,2,9.839999999999998,4,4.56,1,2,0.36000000000000004,3,2.16,1,7.4,1,1.0,2,0.18000000000000002,1,1.8,1,0.5,1,1.9,43,56.0,240.1,1680.8
23,6,3,Urban,1,1,1,15.0,25,7.3,4,7.8,2,8.6,2,0,0.66,4,4.07,1,2.9,3,2.8,1,1.7600000000000002,2,0.2,0,0.6,1,0.4,45,68.3,341.3,2047.7
7,3,3,Urban,0,0,4,23.8,16,6.9,3,6.4,3,5.0,2,0,0.1,3,1.4,1,3.2,0,0.3,0,0.5,1,0.0,1,0.5,0,2.6,30,34.5,344.5,1033.6
7,8,3,Urban,1,1,11,18.9,13,5.3,5,7.5,1,5.4,1,0,0.11000000000000001,3,3.5200000000000005,1,6.7,0,2.6,1,2.09,1,0.5,1,0.3,1,0.4,28,18.8,70.6,564.8
2,7,3,Urban,0,0,11,24.5,16,7.4,3,4.8,2,7.7,2,2,0.8,1,3.7,0,2.8,2,2.0,1,1.3,0,1.1,0,0.1,0,2.6,29,55.1,236.2,1653.6
52,6,3,Urban,0,0,1,18.8,14,7.9,2,10.3,5,8.9,2,2,0.9,4,6.0,1,2.6,3,0.6,2,0.9,2,0.3,0,0.3,1,1.2,38,88.4,442.0,2651.8
25,7,2,Urban,1,0,9,29.8,15,3.6,6,7.8,2,6.4,1,0,0.0,3,6.6,0,2.7,1,2.5,1,1.4,2,0.0,1,0.1,0,1.5,32,36.5,156.5,1095.2
38,7,1,Urban,1,0,9,28.0,23,4.6,7,4.2,5,7.8,1,1,0.3,2,5.3,3,2.5,2,3.6,1,1.4,1,0.8,0,0.0,0,1.2,46,90.4,387.4,2712.1
0,6,3,Urban,0,1,10,27.1,7,7.3,3,7.0,1,9.8,2,2,0.9900000000000001,4,4.51,2,5.3,2,1.9,1,1.4300000000000002,1,1.8,1,0.2,0,1.7,26,44.0,220.0,1320.2
74,3,2,Urban,0,0,6,37.1,16,6.3,4,11.16,4,1.92,1,1,0.9,2,1.6,0,5.4,1,0.6,2,1.3,2,1.7,0,0.3,0,0.1,33,35.3,352.6,1057.8
50,4,2,Urban,0,0,11,22.1,11,6.0,7,8.6,3,2.0,2,1,0.4,2,3.0,2,7.0,1,2.0,2,0.8,2,0.9,1,0.6,0,2.8,34,33.5,251.4,1005.7
5,8,1,Urban,0,0,8,30.6,9,5.8,1,10.92,0,9.12,2,1,0.4,2,2.3,3,7.2,2,3.4,1,1.8,1,0.8,0,0.1,1,0.9,23,44.1,165.5,1323.7
7,5,2,Urban,1,0,1,14.0,19,5.3,6,5.8,2,11.5,2,2,0.3,2,7.2,0,5.3,2,2.6,1,2.0,0,0.8,0,0.9,1,2.6,37,65.0,390.2,1951.0
7,7,1,Rural,0,0,7,30.4,8,6.6,5,11.88,0,0.12,2,0,0.36000000000000004,3,7.02,3,0.8,1,1.9,0,1.71,0,0.9,1,0.0,1,2.0,24,27.1,116.3,814.1
13,3,3,Urban,0,0,2,18.9,14,3.2,6,9.5,3,3.5,1,2,0.2,1,3.9,1,2.0,3,1.9,1,1.3,1,0.6,0,0.3,1,0.8,34,48.5,485.1,1455.2
22,8,2,Urban,0,0,2,16.8,22,5.9,7,8.3,2,3.4,2,2,0.1,3,2.3,0,5.3,2,3.5,2,0.5,2,0.7,0,0.7,0,0.5,44,53.2,199.6,1596.5
18,5,2,Rural,0,0,1,13.7,19,6.2,4,11.6,3,1.9,1,0,0.6,2,1.7,3,6.9,2,1.9,1,1.7,1,1.8,0,0.7,0,1.3,36,42.4,254.5,1272.3
13,7,2,Rural,0,0,10,24.4,8,4.8,7,11.7,2,6.0,2,0,0.7,1,4.4,3,1.5,2,0.8,1,0.1,0,0.5,1,0.4,1,0.7,28,38.2,163.7,1146.0
27,5,3,Urban,0,0,4,19.7,25,5.5,2,5.9,2,7.6,1,2,0.8,5,1.9,1,1.8,3,2.8,2,1.5,1,0.7,0,0.4,1,0.8,45,74.4,446.7,2233.5
5,6,1,Urban,0,0,6,40.2,5,3.8,6,11.04,0,8.88,1,2,0.6,3,1.2,1,5.4,2,0.3,0,0.7,0,0.2,0,0.2,0,0.3,20,11.7,58.3,349.9
12,8,1,Urban,1,0,11,19.2,8,7.0,3,7.2,2,11.6,2,1,0.4,2,7.5,0,2.3,2,1.9,1,1.0,1,1.9,0,1.0,1,1.8,23,55.5,208.2,1665.8
10,3,2,Urban,0,0,4,32.4,8,5.8,2,7.2,1,3.4,2,2,0.5,4,4.1,3,5.4,1,0.2,1,2.0,1,0.5,1,1.0,1,2.6,27,29.1,291.0,873.1
17,3,2,Urban,0,0,9,33.0,22,5.8,4,8.4,3,6.5,2,1,0.3,4,5.9,2,6.5,1,2.3,1,1.4,1,1.0,0,0.1,1,2.9,42,68.2,682.3,2047.0
40,8,3,Urban,1,0,3,18.7,25,7.5,4,4.0,3,0.9,2,0,0.8800000000000001,3,7.590000000000001,2,1.9,3,2.3,1,0.33,1,0.9,0,0.2,0,2.6,44,43.9,164.6,1316.5
5,4,3,Urban,0,1,11,23.2,12,5.2,2,6.8,2,7.9,1,2,0.19800000000000004,1,3.0690000000000004,3,8.0,2,3.5,0,0.3960000000000001,0,1.0,1,0.7,0,0.2,26,58.8,440.8,1763.4
28,4,1,Rural,1,0,11,23.3,10,5.4,3,9.5,3,10.1,2,0,0.8,2,4.1,1,6.4,2,1.3,1,0.7,2,1.4,1,0.1,0,1.2,27,59.7,448.0,1792.2
27,5,2,Urban,0,0,6,33.8,24,5.3,6,13.2,4,13.56,2,1,0.0,3,1.5,3,7.2,2,1.1,1,0.4,2,0.3,1,0.8,1,0.6,50,132.6,795.4,3977.1
4,6,2,Rural,0,0,7,36.2,5,4.2,6,10.08,3,8.04,1,1,0.18000000000000002,4,6.57,3,7.4,2,2.0,1,0.81,1,1.3,1,0.9,0,0.2,28,79.5,397.5,2385.2
20,5,2,Rural,0,1,1,15.2,19,4.2,4,6.3,2,8.4,2,1,0.11000000000000001,3,2.09,0,3.2,1,3.3,1,0.66,1,0.3,0,0.6,1,0.9,35,49.2,294.9,1474.5
6,7,2,Urban,1,0,5,32.6,5,6.8,5,9.96,2,12.0,2,0,0.2,2,1.4,0,3.5,1,0.9,0,0.0,1,1.0,1,0.1,0,2.8,19,47.1,202.0,1413.8
1,3,3,Urban,0,0,9,34.0,7,3.4,3,5.3,0,10.2,1,0,1.0,4,4.9,3,5.9,1,2.3,1,0.9,1,0.7,0,1.0,0,0.2,21,19.8,198.2,594.7
71,5,3,Urban,0,1,4,32.3,14,6.8,2,5.0,3,3.4,1,1,0.0,2,6.6000000000000005,2,7.0,3,1.6,2,2.09,2,0.2,1,0.8,0,1.7,33,53.1,318.6,1593.2
75,5,1,Urban,1,0,7,38.1,17,5.3,5,11.4,5,9.36,1,0,0.5,5,2.3,1,0.9,2,1.5,2,1.3,1,0.3,1,0.2,1,0.2,41,104.3,626.0,3130.1
43,8,2,Urban,1,1,11,19.9,22,3.1,6,4.8,4,11.3,2,1,0.55,2,4.29,2,2.6,2,2.9,2,0.33,2,0.1,1,0.8,1,2.5,47,90.6,339.6,2716.7
10,3,3,Urban,1,1,11,21.4,14,4.1,6,10.3,3,11.2,1,1,0.55,4,6.38,0,4.8,1,2.0,1,1.6500000000000001,1,0.4,0,0.1,1,2.3,33,67.7,676.8,2030.4
1,3,2,Rural,0,0,11,21.7,16,7.3,5,7.5,0,2.2,2,2,0.5,1,4.7,2,4.2,0,0.6,0,0.5,1,1.4,1,0.7,0,0.2,30,17.0,169.7,509.1
33,4,1,Urban,0,1,11,23.1,19,7.1,7,11.1,5,11.1,1,0,0.7920000000000001,3,6.237,3,5.7,3,2.2,1,0.09900000000000002,2,1.6,1,0.6,0,2.7,45,132.5,994.1,3976.4
